"","Time_delay_sec","Sex","Subspecies","Plasma.T","LPlasma.T","jul_date","Time_delay_sec.1","T_aft_sunrise","ABBBS.No.","Year","andr.detected","minT_compiled"
"216",180,"M","M.a.moretoni",78.31,4.36067530876285,247,180,-660,36016,2015,0,"yes"
"217",193,"F","M.a.moretoni",78.33,4.36093067137915,325,193,10240,36163,2015,0,"yes"
"218",580,"F","M.a.moretoni",80.39,4.38688979033987,197,580,9853,47717,2015,0,"yes"
"219",210,"F","M.a.lorentzi",80.81,4.39210072024536,187,210,20820,36199,2015,0,"yes"
"220",150,"F","M.a.moretoni",82.67,4.41485677926458,201,150,14040,36101,2015,0,"yes"
"221",600,"F","M.a.moretoni",82.86,4.41715243664926,307,600,42000,47707,2015,0,"yes"
"222",130,"M","M.a.moretoni",82.99,4.41872011861036,224,130,2580,36173,2015,0,"yes"
"223",277,"M","M.a.moretoni",85.35,4.44676044924045,197,277,9567,47714,2015,0,"yes"
"224",360,"M","M.a.moretoni",85.83,4.45236859573013,308,360,3960,47719,2015,0,"yes"
"225",180,"F","M.a.moretoni",86.96,4.46544824281295,308,180,8820,47718,2015,0,"yes"
"226",302,"F","M.a.moretoni",87.4,4.47049528266149,317,302,2902,47733,2015,0,"yes"
"227",305,"F","M.a.lorentzi",87.63,4.47312340506776,182,305,12240,47622,2015,0,"yes"
"228",412,"F","M.a.lorentzi",87.7,4.47392189937814,186,412,4140,47639,2015,0,"yes"
"229",226,"F","M.a.moretoni",88.39,4.48175884107286,200,226,12088,36027,2015,0,"yes"
"230",210,"F","M.a.lorentzi",88.87,4.48717462775038,181,210,24720,47617,2015,0,"yes"
"231",365,"F","M.a.lorentzi",89.22,4.49110522970012,189,365,45360,47657,2015,0,"yes"
"232",135,"F","M.a.moretoni",91.37,4.51491719701053,324,135,35355,47784,2015,0,"yes"
"233",308,"F","M.a.lorentzi",93.61,4.53913721538365,189,308,4800,47654,2015,0,"yes"
"234",175,"F","M.a.lorentzi",95.63,4.56048657836145,183,175,12240,47625,2015,0,"yes"
"235",262,"F","M.a.lorentzi",96.52,4.56975024075683,191,262,9055,47666,2015,0,"yes"
"236",164,"M","M.a.moretoni",98.06,4.58557953622309,196,164,16080,47703,2015,0,"yes"
"237",211,"F","M.a.moretoni",100.56,4.61075456428199,218,211,36600,47741,2015,0,"yes"
"238",206,"F","M.a.moretoni",101.17,4.6168022702178,203,206,10654,36148,2015,0,"yes"
"239",240,"F","M.a.moretoni",102.28,4.62771415042299,308,240,6180,36148,2015,0,"yes"
"240",298,"M","M.a.lorentzi",107.88,4.68101949827153,184,298,38568,47635,2015,0,"yes"
"241",138,"F","M.a.moretoni",110.27,4.70293190377059,200,138,38160,47707,2015,0,"yes"
"242",180,"F","M.a.moretoni",110.98,4.70935000489775,301,180,2640,47784,2015,0,"yes"
"243",258,"F","M.a.moretoni",119.58,4.78398560345276,320,258,2040,11034,2015,0,"yes"
"244",180,"F","M.a.moretoni",126.39,4.83937236465903,275,180,3960,36198,2015,0,"yes"
"245",235,"F","M.a.moretoni",146.49,4.98695716674168,197,235,1586,47712,2015,0,"yes"
"246",195,"F","M.a.lorentzi",190.07,5.24739242536275,184,195,4860,47630,2015,0,"yes"
