ABBBS.No.,Date,Year,Sex,Subspecies,Plasma.T,LPlasma.T,Time_delay_sec,jul_date,T_aft_sunrise,andr.detected
36002,7/15/14,2014,F,M.a.moretoni,166.58,5.115475675,540,196,35400,0
36152,7/15/14,2014,F,M.a.moretoni,195.62,5.276174002,360,196,10200,0
36151,7/15/14,2014,F,M.a.moretoni,201.05,5.303553633,240,196,2100,0
36095,6/13/14,2014,M,M.a.moretoni,239.98,5.480555587,900,164,4080,0
36113,6/15/14,2014,F,M.a.moretoni,253.55,5.535561042,420,166,39900,0
36174,8/8/15,2015,M,M.a.moretoni,62.96,4.142499604,110,220,1920,0
36133,8/16/15,2015,F,M.a.moretoni,63.05,4.143928062,460,228,4640,0
47761,11/13/15,2015,F,M.a.moretoni,66.02,4.189957726,168,317,43320,0
36132,8/16/15,2015,M,M.a.moretoni,66.15,4.191924891,240,228,5190,0
36197,8/12/15,2015,F,M.a.moretoni,67.12,4.206482062,220,224,5930,0
36142,7/9/15,2015,F,M.a.lorentzi,67.92,4.218330542,135,190,39960,0
47754,8/16/15,2015,F,M.a.moretoni,68.22,4.222737777,130,228,15330,0
36128,8/12/15,2015,M,M.a.moretoni,68.72,4.230040278,280,224,11540,0
36095,8/31/15,2015,M,M.a.moretoni,69.47,4.240895005,120,243,40560,0
36150,11/1/15,2015,F,M.a.moretoni,70.78,4.259576475,240,305,12780,0
47637,7/4/15,2015,F,M.a.lorentzi,71.55,4.270396506,225,185,41880,0
47653,7/8/15,2015,F,M.a.lorentzi,71.55,4.270396506,210,189,4740,0
47758,8/17/15,2015,F,M.a.moretoni,71.6,4.271095074,510,229,37740,0
36126,10/28/15,2015,F,M.a.moretoni,73.85,4.302036009,120,301,13380,0
47780,10/15/15,2015,F,M.a.moretoni,74.55,4.311470041,180,288,5880,0
47662,7/9/15,2015,F,M.a.lorentzi,74.73,4.313881618,150,190,5540,0
36155,9/1/15,2015,F,M.a.moretoni,75.69,4.326646051,360,244,4320,0
36150,7/18/15,2015,F,M.a.moretoni,75.71,4.326910252,450,199,720,0
47616,6/30/15,2015,F,M.a.lorentzi,77.3,4.347693956,163,181,8820,0
47702,7/24/15,2015,F,M.a.moretoni,77.45,4.349632567,210,205,12060,0
36016,9/4/15,2015,M,M.a.moretoni,78.31,4.360675309,180,247,-660,0
36163,11/21/15,2015,F,M.a.moretoni,78.33,4.360930671,193,325,10240,0
47717,7/16/15,2015,F,M.a.moretoni,80.39,4.38688979,580,197,9853,0
36199,7/6/15,2015,F,M.a.lorentzi,80.81,4.39210072,210,187,20820,0
36101,7/20/15,2015,F,M.a.moretoni,82.67,4.414856779,150,201,14040,0
47707,11/3/15,2015,F,M.a.moretoni,82.86,4.417152437,600,307,42000,0
